id,name,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,normal_weakness,fire_weakness,water_weakness,electric_weakness,grass_weakness,ice_weakness,fighting_weakness,poison_weakness,ground_weakness,flying_weakness,psychic_weakness,bug_weakness,rock_weakness,ghost_weakness,dragon_weakness,dark_weakness,steel_weakness,fairy_weakness,height_inches,height_meters,weight_pounds,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities,type_1,type_2,classification_info,forms,gen,is_legendary,is_mythical,is_ultra_beast,number_immune,number_not_effective,number_normal,number_super_effective,has_forms,abilities_count,base_stats_calc,base_stats_diff,source,umap_1,umap_2
11.0,Metapod,50,20,55,25,25,30,205,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,204.0,0.7,21.8,9.9,120,5.0,3840,120,Shed Skin,Bug,None,Cocoon,,1,0,0,0,0,3,12,3,0.0,1,205.0,0.0,Real,9.361688,9.123975
12.0,Butterfree,60,45,50,90,80,70,395,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,307.0,1.1,70.5,32.0,45,5.0,3840,45,Available; Compound Eyes; Tinted Lens,Bug,Flying,Butterfly,,1,0,0,0,1,3,9,5,0.0,3,395.0,0.0,Real,6.5208764,7.7651944
13.0,Weedle,40,35,30,20,20,50,195,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,100.0,0.3,7.1,3.2,255,5.0,3840,255,Run Away; Shield Dust,Bug,Poison,Hairy Bug,,1,0,0,0,0,5,9,4,0.0,2,195.0,0.0,Real,9.936365,8.508573
14.0,Kakuna,45,25,50,25,25,35,205,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,200.0,0.6,22.0,10.0,120,5.0,3840,120,Shed Skin,Bug,Poison,Cocoon,,1,0,0,0,0,5,9,4,0.0,1,205.0,0.0,Real,9.270656,9.027022
15.0,Beedrill,65,90,40,45,80,75,395,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,303.0,1.0,65.0,29.5,45,5.0,3840,45,Sniper; Swarm,Bug,Poison,Poison Bee,Mega Beedrill,1,0,0,0,0,5,9,4,1.0,2,395.0,0.0,Real,7.2402554,9.097199
16.0,Pidgey,40,45,40,35,35,56,251,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,100.0,0.3,4.0,1.8,255,5.0,3840,255,Big Pecks; Keen Eye; Tangled Feet,Normal,Flying,Tiny Bird,,1,0,0,0,2,2,11,3,0.0,3,251.0,0.0,Real,9.042,6.4879827
17.0,Pidgeotto,63,60,55,50,50,71,349,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,307.0,1.1,66.1,30.0,120,5.0,3840,120,Big Pecks; Keen Eye; Tangled Feet,Normal,Flying,Bird,,1,0,0,0,2,2,11,3,0.0,3,349.0,0.0,Real,8.100432,6.5851817
18.0,Pidgeot,83,80,75,70,70,101,479,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,411.0,1.5,87.1,39.5,45,5.0,3840,45,Big Pecks; Keen Eye; Tangled Feet,Normal,Flying,Bird,Mega Pidgeot,1,0,0,0,2,2,11,3,1.0,3,479.0,0.0,Real,6.9082155,6.4506245
19.0,Rattata,30,56,35,25,35,72,253,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,0.3,7.7,3.5,255,5.0,3840,255,Alola Form; Alola Form Abilities; Available; Gluttony; Guts; Hidden; Hustle; Run Away; Thick Fat,Normal,None,Mouse,Alolan Rattata,1,0,0,0,1,0,16,1,1.0,9,253.0,0.0,Real,7.5846753,3.6240654
20.0,Raticate,55,81,60,50,70,97,413,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,28.0,0.7,40.8,18.5,127,5.0,3840,127,Alola Form; Alola Form Abilities; Available; Gluttony; Guts; Hidden; Hustle; Run Away; Thick Fat,Normal,None,Mouse,Alolan Raticate,1,0,0,0,1,0,16,1,1.0,9,413.0,0.0,Real,6.8760614,4.3180184
21.0,Spearow,40,60,30,31,31,70,262,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,100.0,0.3,4.4,2.0,255,5.0,3840,255,Available; Keen Eye; Sniper,Normal,Flying,Tiny Bird,,1,0,0,0,2,2,11,3,0.0,3,262.0,0.0,Real,9.020013,6.454513
22.0,Fearow,65,90,65,61,61,100,442,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,311.0,1.2,83.8,38.0,90,5.0,3840,90,Available; Keen Eye; Sniper,Normal,Flying,Beak,,1,0,0,0,2,2,11,3,0.0,3,442.0,0.0,Real,7.135514,6.4864507
23.0,Ekans,35,60,44,40,54,55,288,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,607.0,2.0,15.2,6.9,255,5.0,5120,255,Intimidate; Shed Skin; Unnerve,Poison,None,Snake,,1,0,0,0,0,5,11,2,0.0,3,288.0,0.0,Real,10.577169,9.879641
24.0,Arbok,60,95,69,65,79,80,448,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1106.0,3.5,143.3,65.0,90,5.0,5120,90,Intimidate; Shed Skin; Unnerve,Poison,None,Cobra,,1,0,0,0,0,5,11,2,0.0,3,448.0,0.0,Real,5.8474073,10.544079
25.0,Pikachu,35,55,40,50,50,90,320,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,104.0,0.4,13.2,6.0,190,5.0,2560,190,Available; Lightning Rod; Static,Electric,None,Mouse,Partner Pikachu,1,0,0,0,0,3,14,1,1.0,3,320.0,0.0,Real,10.784626,9.746943
26.0,Raichu,60,90,55,90,80,110,485,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,31.0,28.0,46.3,21.0,75,5.0,2560,75,Alola Form; Alola Form Abilities; Hidden; Lightning Rod; Static; Surge Surfer,Electric,None,Mouse,Alolan Raichu,1,0,0,0,0,3,14,1,1.0,6,485.0,0.0,Real,3.0111578,9.760409
27.0,Sandshrew,50,75,85,20,30,40,300,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,24.0,0.6,26.5,12.0,255,5.0,5120,255,Alola Form; Alola Form Abilities; Available; Hidden; Sand Rush; Sand Veil; Slush Rush; Snow Cloak,Ground,None,Mouse,Alolan Sandshrew,1,0,0,0,1,2,12,3,1.0,8,300.0,0.0,Real,8.8903055,6.9301877
28.0,Sandslash,75,100,110,45,55,65,450,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,39.0,1.0,65.0,29.5,90,5.0,5120,90,Alola Form; Alola Form Abilities; Available; Hidden; Sand Rush; Sand Veil; Slush Rush; Snow Cloak,Ground,None,Mouse,Alolan Sandslash,1,0,0,0,1,2,12,3,1.0,8,450.0,0.0,Real,7.0896997,7.104679
29.0,Nidoran-m,55,47,52,40,40,41,275,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,104.0,0.4,15.4,7.0,235,0.0,5120,235,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0.0,3,275.0,0.0,Real,10.387342,9.698269
30.0,Nidorina,70,62,67,55,55,56,365,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,207.0,0.8,44.1,20.0,120,0.0,5120,120,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0.0,3,365.0,0.0,Real,8.139938,9.629974
31.0,Nidoqueen,90,92,87,75,85,76,505,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,403.0,1.3,132.3,60.0,45,0.0,5120,45,Poison Point; Rivalry; Sheer Force,Poison,Ground,Drill,,1,0,0,0,1,5,8,4,0.0,3,505.0,0.0,Real,5.507684,7.5431166
32.0,Nidoran-f,46,57,40,40,40,50,273,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,108.0,0.5,19.8,9.0,235,10.0,5120,235,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0.0,3,273.0,0.0,Real,10.52842,9.745263
33.0,Nidorino,61,72,57,55,55,65,365,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,211.0,0.9,43.0,19.5,120,10.0,5120,120,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0.0,3,365.0,0.0,Real,8.101713,9.428433
34.0,Nidoking,81,102,77,85,75,85,505,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,407.0,1.4,136.7,62.0,45,10.0,5120,45,Poison Point; Rivalry; Sheer Force,Poison,Ground,Drill,,1,0,0,0,1,5,8,4,0.0,3,505.0,0.0,Real,5.511694,7.370649
35.0,Clefairy,70,45,48,60,65,35,323,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,200.0,0.6,16.5,7.5,150,24.6,2560,150,Available; Cute Charm; Friend Guard; Magic Guard,Fairy,None,Fairy,,1,0,0,0,1,3,12,2,0.0,4,323.0,0.0,Real,8.872455,7.0346146
36.0,Clefable,95,70,73,95,90,60,483,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,403.0,1.3,88.2,40.0,25,24.6,2560,25,Available; Cute Charm; Magic Guard; Unaware,Fairy,None,Fairy,,1,0,0,0,1,3,12,2,0.0,4,483.0,0.0,Real,6.844481,7.394191
37.0,Vulpix,38,41,40,50,65,65,299,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,24.0,0.6,21.8,9.9,190,24.6,5120,190,Alola Form; Alola Form Abilities; Available; Drought; Flash Fire; Hidden; Snow Cloak; Snow Warning,Fire,None,Fox,Alolan Vulpix,1,0,0,0,0,6,9,3,1.0,8,299.0,0.0,Real,9.78915,9.183996
38.0,Ninetales,73,76,75,81,100,100,505,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,43.0,1.1,43.9,19.9,75,24.6,5120,75,Alola Form; Alola Form Abilities; Available; Drought; Flash Fire; Hidden; Snow Cloak; Snow Warning,Fire,None,Fox,Alolan Ninetales,1,0,0,0,0,6,9,3,1.0,8,505.0,0.0,Real,5.2470145,9.41956
39.0,Jigglypuff,115,45,20,45,25,20,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,108.0,0.5,12.1,5.5,170,24.6,2560,170,Available; Competitive; Cute Charm; Friend Guard,Normal,Fairy,Balloon,,1,0,0,0,2,2,12,2,0.0,4,270.0,0.0,Real,8.782296,6.5536203
40.0,Wigglytuff,140,70,45,85,50,45,435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,303.0,1.0,26.5,12.0,50,24.6,2560,50,Available; Competitive; Cute Charm; Frisk,Normal,Fairy,Balloon,,1,0,0,0,2,2,12,2,0.0,4,435.0,0.0,Real,7.2326126,7.2620707
41.0,Zubat,40,45,35,30,40,55,245,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,207.0,0.8,16.5,7.5,255,5.0,3840,255,Available; Infiltrator; Inner Focus,Poison,Flying,Bat,,1,0,0,0,1,5,8,4,0.0,3,245.0,0.0,Real,9.175058,7.560842
42.0,Golbat,75,80,70,65,75,90,455,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,503.0,1.6,121.3,55.0,90,5.0,3840,90,Available; Infiltrator; Inner Focus,Poison,Flying,Bat,,1,0,0,0,1,5,8,4,0.0,3,455.0,0.0,Real,5.751031,7.500823
43.0,Oddish,45,50,55,75,65,30,320,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,108.0,0.5,11.9,5.4,255,5.0,5120,255,Chlorophyll; Run Away,Grass,Poison,Weed,,1,0,0,0,0,5,9,4,0.0,2,320.0,0.0,Real,9.54963,8.694922
44.0,Gloom,60,65,70,85,75,40,395,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,207.0,0.8,19.0,8.6,120,5.0,5120,120,Chlorophyll; Stench,Grass,Poison,Weed,,1,0,0,0,0,5,9,4,0.0,2,395.0,0.0,Real,7.3814206,9.184791
45.0,Vileplume,75,80,85,110,90,50,490,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,311.0,1.2,41.0,18.6,45,5.0,5120,45,Chlorophyll; Effect Spore,Grass,Poison,Flower,,1,0,0,0,0,5,9,4,0.0,2,490.0,0.0,Real,6.0482574,9.1422615
46.0,Paras,35,70,55,45,55,25,285,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.3,11.9,5.4,190,5.0,5120,190,Available; Damp; Dry Skin; Effect Spore,Bug,Grass,Mushroom,,1,0,0,0,0,5,7,6,0.0,4,285.0,0.0,Real,9.361082,8.363739
47.0,Parasect,60,95,80,60,80,30,405,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,303.0,1.0,65.0,29.5,75,5.0,5120,75,Available; Damp; Dry Skin; Effect Spore,Bug,Grass,Mushroom,,1,0,0,0,0,5,7,6,0.0,4,405.0,0.0,Real,7.3115864,8.75966
48.0,Venonat,60,55,50,40,55,45,305,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,303.0,1.0,66.1,30.0,190,5.0,5120,190,Compound Eyes; Run Away; Tinted Lens,Bug,Poison,Insect,,1,0,0,0,0,5,9,4,0.0,3,305.0,0.0,Real,9.351783,8.654675
49.0,Venomoth,70,65,60,90,75,90,450,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,411.0,1.5,27.6,12.5,75,5.0,5120,75,Shield Dust; Tinted Lens; Wonder Skin,Bug,Poison,Poison Moth,,1,0,0,0,0,5,9,4,0.0,3,450.0,0.0,Real,6.39021,9.017832
50.0,Diglett,10,55,25,35,45,95,265,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,8.0,0.2,1.8,0.8,255,5.0,5120,255,Alola Form; Alola Form Abilities; Arena Trap; Available; Hidden; Sand Force; Sand Veil; Tangling Hair,Ground,None,Mole,Alolan Diglett,1,0,0,0,1,2,12,3,1.0,8,265.0,0.0,Real,9.2584505,6.7903314
51.0,Dugtrio,35,100,50,50,70,120,425,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,28.0,0.7,73.4,33.3,50,5.0,5120,50,Alola Form; Alola Form Abilities; Arena Trap; Available; Hidden; Sand Force; Sand Veil; Tangling Hair,Ground,None,Mole,Alolan Dugtrio,1,0,0,0,1,2,12,3,1.0,8,425.0,0.0,Real,7.2142606,6.9320083
52.0,Meowth,40,45,35,40,40,90,290,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,0.4,9.3,4.2,255,5.0,5120,255,Alola Form; Alola Form Abilities; Available; Hidden; Pickup; Rattled; Technician; Unnerve,Normal,None,Scratch Cat,Alolan Meowth; Galarian Meowth,1,0,0,0,1,0,16,1,1.0,8,290.0,0.0,Real,7.5406513,3.6797638
53.0,Persian,65,70,60,65,65,115,440,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,39.0,1.0,70.5,32.0,90,5.0,5120,90,Alola Form; Alola Form Abilities; Available; Fur Coat; Hidden; Limber; Rattled; Technician; Unnerve,Normal,None,Classy Cat,Alolan Persian,1,0,0,0,1,0,16,1,1.0,9,440.0,0.0,Real,6.7443166,4.443987
54.0,Psyduck,50,52,48,65,50,55,320,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,207.0,0.8,43.2,19.6,190,5.0,5120,190,Available; Cloud Nine; Damp; Swift Swim,Water,None,Duck,,1,0,0,0,0,4,12,2,0.0,4,320.0,0.0,Real,10.442758,9.912185
55.0,Golduck,80,82,78,95,80,85,500,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,507.0,1.7,168.9,76.6,75,5.0,5120,75,Available; Cloud Nine; Damp; Swift Swim,Water,None,Duck,,1,0,0,0,0,4,12,2,0.0,4,500.0,0.0,Real,5.9455347,10.625375
56.0,Mankey,40,80,35,35,45,70,305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,108.0,0.5,61.7,28.0,190,5.0,5120,190,Anger Point; Available; Defiant; Vital Spirit,Fighting,None,Pig Monkey,,1,0,0,0,0,3,12,3,0.0,4,305.0,0.0,Real,10.421049,9.788528
57.0,Primeape,65,105,60,60,70,95,455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,303.0,1.0,70.5,32.0,75,5.0,5120,75,Anger Point; Available; Defiant; Vital Spirit,Fighting,None,Pig Monkey,,1,0,0,0,0,3,12,3,0.0,4,455.0,0.0,Real,5.683743,10.611114
58.0,Growlithe,55,70,45,70,50,60,350,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,204.0,0.7,41.9,19.0,190,75.4,5120,190,Available; Flash Fire; Intimidate; Justified,Fire,None,Puppy,Hisuian Growlithe,1,0,0,0,0,6,9,3,1.0,4,350.0,0.0,Real,8.736798,13.1488905
59.0,Arcanine,90,110,80,100,80,95,555,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,603.0,1.9,341.7,155.0,75,75.4,5120,75,Available; Flash Fire; Intimidate; Justified,Fire,None,Legendary,Hisuian Arcanine,1,0,0,0,0,6,9,3,1.0,4,555.0,0.0,Real,6.323019,13.306369
60.0,Poliwag,40,50,40,40,40,90,300,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,200.0,0.6,27.3,12.4,255,5.0,5120,255,Available; Damp; Swift Swim; Water Absorb,Water,None,Tadpole,,1,0,0,0,0,4,12,2,0.0,4,300.0,0.0,Real,10.703965,9.714157
61.0,Poliwhirl,65,65,65,50,50,90,385,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,303.0,1.0,44.1,20.0,120,5.0,5120,120,Available; Damp; Swift Swim; Water Absorb,Water,None,Tadpole,,1,0,0,0,0,4,12,2,0.0,4,385.0,0.0,Real,7.9367476,9.796583
62.0,Poliwrath,90,95,95,70,90,70,510,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,403.0,1.3,119.0,54.0,45,5.0,5120,45,Available; Damp; Swift Swim; Water Absorb,Water,Fighting,Tadpole,,1,0,0,0,0,7,6,5,0.0,4,510.0,0.0,Real,5.1127324,8.533402
63.0,Abra,25,20,15,105,55,90,310,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,211.0,0.9,43.0,19.5,200,75.4,5120,200,Available; Inner Focus; Magic Guard; Synchronize,Psychic,None,Psi,,1,0,0,0,0,2,13,3,0.0,4,310.0,0.0,Real,8.525242,13.478829
64.0,Kadabra,40,35,30,120,70,105,400,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,403.0,1.3,124.6,56.5,100,75.4,5120,100,Available; Inner Focus; Magic Guard; Synchronize,Psychic,None,Psi,,1,0,0,0,0,2,13,3,0.0,4,400.0,0.0,Real,7.4900823,13.984127
