type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Poison,Flying,1,0,0,0,75,80,70,65,75,90,455,1.6,55.0,90,5.0,3840,90,3,1,5,8,4
Grass,Poison,1,0,0,0,45,50,55,75,65,30,320,0.5,5.4,255,5.0,5120,255,2,0,5,9,4
Grass,Poison,1,0,0,0,60,65,70,85,75,40,395,0.8,8.6,120,5.0,5120,120,2,0,5,9,4
Grass,Poison,1,0,0,0,75,80,85,110,90,50,490,1.2,18.6,45,5.0,5120,45,2,0,5,9,4
Bug,Grass,1,0,0,0,35,70,55,45,55,25,285,0.3,5.4,190,5.0,5120,190,4,0,5,7,6
Bug,Grass,1,0,0,0,60,95,80,60,80,30,405,1.0,29.5,75,5.0,5120,75,4,0,5,7,6
Bug,Poison,1,0,0,0,60,55,50,40,55,45,305,1.0,30.0,190,5.0,5120,190,3,0,5,9,4
Bug,Poison,1,0,0,0,70,65,60,90,75,90,450,1.5,12.5,75,5.0,5120,75,3,0,5,9,4
Ground,None,1,0,0,0,10,55,25,35,45,95,265,0.2,0.8,255,5.0,5120,255,8,1,2,12,3
Ground,None,1,0,0,0,35,100,50,50,70,120,425,0.7,33.3,50,5.0,5120,50,8,1,2,12,3
Normal,None,1,0,0,0,40,45,35,40,40,90,290,0.4,4.2,255,5.0,5120,255,8,1,0,16,1
Normal,None,1,0,0,0,65,70,60,65,65,115,440,1.0,32.0,90,5.0,5120,90,9,1,0,16,1
Water,None,1,0,0,0,50,52,48,65,50,55,320,0.8,19.6,190,5.0,5120,190,4,0,4,12,2
Water,None,1,0,0,0,80,82,78,95,80,85,500,1.7,76.6,75,5.0,5120,75,4,0,4,12,2
Fighting,None,1,0,0,0,40,80,35,35,45,70,305,0.5,28.0,190,5.0,5120,190,4,0,3,12,3
Fighting,None,1,0,0,0,65,105,60,60,70,95,455,1.0,32.0,75,5.0,5120,75,4,0,3,12,3
Fire,None,1,0,0,0,55,70,45,70,50,60,350,0.7,19.0,190,75.4,5120,190,4,0,6,9,3
Fire,None,1,0,0,0,90,110,80,100,80,95,555,1.9,155.0,75,75.4,5120,75,4,0,6,9,3
Water,None,1,0,0,0,40,50,40,40,40,90,300,0.6,12.4,255,5.0,5120,255,4,0,4,12,2
Water,None,1,0,0,0,65,65,65,50,50,90,385,1.0,20.0,120,5.0,5120,120,4,0,4,12,2
Water,Fighting,1,0,0,0,90,95,95,70,90,70,510,1.3,54.0,45,5.0,5120,45,4,0,7,6,5
Psychic,None,1,0,0,0,25,20,15,105,55,90,310,0.9,19.5,200,75.4,5120,200,4,0,2,13,3
Psychic,None,1,0,0,0,40,35,30,120,70,105,400,1.3,56.5,100,75.4,5120,100,4,0,2,13,3
Psychic,None,1,0,0,0,55,50,45,135,95,120,500,1.5,48.0,50,75.4,5120,50,4,0,2,13,3
Fighting,None,1,0,0,0,70,80,50,35,35,35,305,0.8,19.5,180,75.4,5120,180,4,0,3,12,3
Fighting,None,1,0,0,0,80,100,70,50,60,45,405,1.5,70.5,90,75.4,5120,90,4,0,3,12,3
Fighting,None,1,0,0,0,90,130,80,65,85,55,505,1.6,130.0,45,75.4,5120,45,4,0,3,12,3
Grass,Poison,1,0,0,0,50,75,35,70,30,40,300,0.7,4.0,255,5.0,5120,255,2,0,5,9,4
Grass,Poison,1,0,0,0,65,90,50,85,45,55,390,1.0,6.4,120,5.0,5120,120,2,0,5,9,4
Grass,Poison,1,0,0,0,80,105,65,100,70,70,490,1.7,15.5,45,5.0,5120,45,2,0,5,9,4
Water,Poison,1,0,0,0,40,40,35,50,100,70,335,0.9,45.5,190,5.0,5120,190,4,0,8,7,3
Water,Poison,1,0,0,0,80,70,65,80,120,100,515,1.6,55.0,60,5.0,5120,60,4,0,8,7,3
Rock,Ground,1,0,0,0,40,80,100,30,30,20,300,0.4,20.0,255,5.0,3840,255,9,1,5,6,6
Rock,Ground,1,0,0,0,55,95,115,45,45,35,390,1.0,105.0,120,5.0,3840,120,9,1,5,6,6
Rock,Ground,1,0,0,0,80,120,130,55,65,45,495,1.4,300.0,45,5.0,3840,45,9,1,5,6,6
Fire,None,1,0,0,0,50,85,55,65,65,90,410,1.0,30.0,190,5.0,5120,190,3,0,6,9,3
Fire,None,1,0,0,0,65,100,70,80,80,105,500,1.7,95.0,60,5.0,5120,60,3,0,6,9,3
Water,Psychic,1,0,0,0,90,65,65,40,40,15,315,1.2,36.0,190,5.0,5120,190,4,0,6,7,5
Water,Psychic,1,0,0,0,95,75,110,100,80,30,490,1.6,78.5,75,5.0,5120,75,4,0,6,7,5
Electric,Steel,1,0,0,0,25,35,70,95,55,45,325,0.3,6.0,190,5.0,5120,190,4,1,11,3,3
Electric,Steel,1,0,0,0,50,60,95,120,70,70,465,1.0,60.0,60,5.0,5120,60,4,1,11,3,3
Normal,Flying,1,0,0,0,52,90,55,58,62,60,377,0.8,15.0,45,5.0,5120,45,3,2,2,11,3
Normal,Flying,1,0,0,0,35,85,45,35,35,75,310,1.4,39.2,190,5.0,5120,190,3,2,2,11,3
Normal,Flying,1,0,0,0,60,110,70,60,60,110,470,1.8,85.2,45,5.0,5120,45,3,2,2,11,3
Water,None,1,0,0,0,65,45,55,45,70,45,325,1.1,90.0,190,5.0,5120,190,3,0,4,12,2
Water,Ice,1,0,0,0,90,70,80,70,95,70,475,1.7,120.0,75,5.0,5120,75,3,0,2,12,4
Poison,None,1,0,0,0,80,80,50,40,50,25,325,0.9,30.0,190,5.0,5120,190,8,0,5,11,2
Poison,None,1,0,0,0,105,105,75,65,100,50,500,1.0,30.0,75,5.0,5120,75,8,0,5,11,2
Water,None,1,0,0,0,30,65,100,45,25,40,305,0.3,4.0,190,5.0,5120,190,4,0,4,12,2
Water,Ice,1,0,0,0,50,95,180,85,45,70,525,1.5,132.5,60,5.0,5120,60,4,0,2,12,4
Ghost,Poison,1,0,0,0,30,35,30,100,35,80,310,1.3,0.1,190,5.0,5120,190,1,2,4,8,4
Ghost,Poison,1,0,0,0,45,50,45,115,55,95,405,1.6,0.1,90,5.0,5120,90,1,2,4,8,4
Ghost,Poison,1,0,0,0,60,65,60,130,75,110,500,1.5,40.5,45,5.0,5120,45,1,2,4,8,4
Rock,Ground,1,0,0,0,35,45,160,30,45,70,385,8.8,210.0,45,5.0,6400,45,3,1,5,6,6
Psychic,None,1,0,0,0,60,48,45,43,90,42,328,1.0,32.4,190,5.0,5120,190,4,0,2,13,3
Psychic,None,1,0,0,0,85,73,70,73,115,67,483,1.6,75.6,75,5.0,5120,75,4,0,2,13,3
Water,None,1,0,0,0,30,105,90,25,25,50,325,0.4,6.5,225,5.0,5120,225,3,0,4,12,2
Water,None,1,0,0,0,55,130,115,50,50,75,475,1.3,60.0,60,5.0,5120,60,3,0,4,12,2
Electric,None,1,0,0,0,40,30,50,55,55,100,330,0.5,10.4,190,5.0,5120,190,3,0,3,14,1
Electric,None,1,0,0,0,60,50,70,80,80,150,490,1.2,66.6,60,5.0,5120,60,3,0,3,14,1
Grass,Psychic,1,0,0,0,60,40,80,60,45,40,325,0.4,2.5,90,5.0,5120,90,3,0,6,5,7
Grass,Psychic,1,0,0,0,95,95,85,125,75,55,530,2.0,120.0,45,5.0,5120,45,7,0,6,5,7
Ground,None,1,0,0,0,50,50,95,40,50,35,320,0.4,6.5,190,5.0,5120,190,4,1,2,12,3
Ground,None,1,0,0,0,60,80,110,50,80,45,425,1.0,34.0,75,5.0,5120,75,8,1,2,12,3
Fighting,None,1,0,0,0,50,120,53,35,110,87,455,1.5,49.8,45,10.0,6400,45,3,0,3,12,3
Fighting,None,1,0,0,0,50,105,79,35,110,76,455,1.4,50.2,45,10.0,6400,45,3,0,3,12,3
Normal,None,1,0,0,0,90,55,75,60,75,30,385,1.2,65.5,45,5.0,5120,45,3,1,0,16,1
Poison,None,1,0,0,0,40,65,95,60,45,35,340,0.6,1.0,190,5.0,5120,190,1,0,5,11,2
Poison,None,1,0,0,0,65,90,120,85,70,60,490,1.2,9.5,60,5.0,5120,60,1,0,5,11,2
Ground,Rock,1,0,0,0,80,85,95,30,30,25,345,1.0,115.0,120,5.0,5120,120,3,1,5,6,6
Ground,Rock,1,0,0,0,105,130,120,45,45,40,485,1.9,120.0,60,5.0,5120,60,3,1,5,6,6
Normal,None,1,0,0,0,250,5,5,35,105,50,450,1.1,34.6,30,0.0,10240,30,4,1,0,16,1
Grass,None,1,0,0,0,65,55,115,100,40,60,435,1.0,35.0,45,5.0,5120,45,3,0,4,9,5
Normal,None,1,0,0,0,105,95,80,40,80,90,490,2.2,80.0,45,0.0,5120,45,4,1,0,16,1
Water,None,1,0,0,0,30,40,70,70,25,60,295,0.4,8.0,225,5.0,5120,225,3,0,4,12,2
Water,None,1,0,0,0,55,65,95,95,45,85,440,1.2,25.0,75,5.0,5120,75,3,0,4,12,2
Water,None,1,0,0,0,45,67,60,35,50,63,320,0.6,15.0,225,5.0,5120,225,4,0,4,12,2
Water,None,1,0,0,0,80,92,65,65,80,68,450,1.3,39.0,60,5.0,5120,60,4,0,4,12,2
Water,None,1,0,0,0,30,45,55,70,55,85,340,0.8,34.5,225,5.0,5120,225,4,0,4,12,2
Water,Psychic,1,0,0,0,60,75,85,100,85,115,520,1.1,80.0,60,5.0,5120,60,4,0,6,7,5
Psychic,Fairy,1,0,0,0,40,45,65,100,120,90,460,1.3,54.5,45,5.0,6400,45,3,1,2,12,3
Bug,Flying,1,0,0,0,70,110,80,55,80,105,500,1.5,56.0,45,5.0,6400,45,4,1,3,9,5
Ice,Psychic,1,0,0,0,65,50,35,115,95,95,455,1.4,40.6,45,0.0,6400,45,3,0,2,10,6
Electric,None,1,0,0,0,65,83,57,95,85,105,490,1.1,30.0,45,75.4,6400,45,3,0,3,14,1
Fire,None,1,0,0,0,65,95,57,100,85,93,495,1.3,44.5,45,75.4,6400,45,3,0,6,9,3
Bug,None,1,0,0,0,65,125,100,55,70,85,500,1.5,55.0,45,5.0,6400,45,4,0,3,12,3
Normal,None,1,0,0,0,75,100,95,40,70,110,490,1.4,88.4,45,10.0,5120,45,4,1,0,16,1
Water,None,1,0,0,0,20,10,55,15,20,80,200,0.9,10.0,255,5.0,1280,255,3,0,4,12,2
Water,Flying,1,0,0,0,95,125,79,60,100,81,540,6.5,235.0,45,5.0,1280,45,3,1,5,10,2
Water,Ice,1,0,0,0,130,85,80,85,95,60,535,2.5,220.0,45,5.0,10240,45,4,0,2,12,4
Normal,None,1,0,0,0,48,48,48,48,48,48,288,0.3,4.0,35,5.0,5120,35,3,1,0,16,1
Normal,None,1,0,0,0,55,55,50,45,65,55,325,0.3,6.5,45,88.1,8960,45,4,1,0,16,1
Water,None,1,0,0,0,130,65,60,110,95,65,525,1.0,29.0,45,88.1,8960,45,3,0,4,12,2
Electric,None,1,0,0,0,65,65,60,110,95,130,525,0.8,24.5,45,88.1,8960,45,3,0,3,14,1
Fire,None,1,0,0,0,65,130,60,95,110,65,525,0.9,25.0,45,88.1,8960,45,3,0,6,9,3
Normal,None,1,0,0,0,65,60,70,85,75,40,395,0.8,36.5,45,5.0,5120,45,3,1,0,16,1
Rock,Water,1,0,0,0,35,40,100,90,55,35,355,0.4,7.5,45,88.1,7680,45,3,0,5,9,4
Rock,Water,1,0,0,0,70,60,125,115,70,55,495,1.0,35.0,45,88.1,7680,45,3,0,5,9,4
Rock,Water,1,0,0,0,30,80,90,55,45,55,355,0.5,11.5,45,88.1,7680,45,3,0,5,9,4
Rock,Water,1,0,0,0,60,115,105,65,70,80,495,1.3,40.5,45,88.1,7680,45,3,0,5,9,4
Rock,Flying,1,0,0,0,80,105,65,60,75,130,515,1.8,59.0,45,88.1,8960,45,3,1,5,7,5
Normal,None,1,0,0,0,160,110,65,65,110,30,540,2.1,460.0,25,88.1,10240,25,4,1,0,16,1
Ice,Flying,1,1,0,0,90,85,100,95,125,85,580,1.7,55.4,3,5.0,20480,3,2,1,2,11,4
Electric,Flying,1,1,0,0,90,90,85,125,90,100,580,1.6,52.6,3,5.0,20480,3,2,1,5,10,2
Fire,Flying,1,1,0,0,90,100,90,125,85,90,580,2.0,60.0,3,5.0,20480,3,2,1,6,8,3
Dragon,None,1,0,0,0,41,64,45,50,50,50,300,1.8,3.3,45,5.0,10240,45,3,0,4,11,3
Dragon,None,1,0,0,0,61,84,65,70,70,70,420,4.0,16.5,45,5.0,10240,45,3,0,4,11,3
Dragon,Flying,1,0,0,0,91,134,95,100,100,80,600,2.2,210.0,45,5.0,10240,45,3,1,5,8,4
Psychic,None,1,1,0,0,106,110,90,154,90,130,680,2.0,122.0,3,5.0,30720,3,2,0,2,13,3
Psychic,None,1,0,1,0,100,100,100,100,100,100,600,0.4,4.0,45,5.0,30720,45,1,0,2,13,3
Grass,None,2,0,0,0,45,49,65,49,65,45,318,0.9,6.4,45,88.1,5120,45,2,0,4,9,5
Grass,None,2,0,0,0,60,62,80,63,80,60,405,1.2,15.8,45,88.1,5120,45,2,0,4,9,5
Grass,None,2,0,0,0,80,82,100,83,100,80,525,1.8,100.5,45,88.1,5120,45,2,0,4,9,5
Fire,None,2,0,0,0,39,52,43,60,50,65,309,0.5,7.9,45,88.1,5120,45,2,0,6,9,3
Fire,None,2,0,0,0,58,64,58,80,65,80,405,0.9,19.0,45,88.1,5120,45,2,0,6,9,3
Fire,None,2,0,0,0,78,84,78,109,85,100,534,1.7,79.5,45,88.1,5120,45,2,0,6,9,3
Water,None,2,0,0,0,50,65,64,44,48,43,314,0.6,9.5,45,88.1,5120,45,2,0,4,12,2
Water,None,2,0,0,0,65,80,80,59,63,58,405,1.1,25.0,45,88.1,5120,45,2,0,4,12,2
Water,None,2,0,0,0,85,105,100,79,83,78,530,2.3,88.8,45,88.1,5120,45,2,0,4,12,2
Normal,None,2,0,0,0,35,46,34,35,45,20,215,0.8,6.0,255,5.0,3840,255,3,1,0,16,1
Normal,None,2,0,0,0,85,76,64,45,55,90,415,1.8,32.5,90,5.0,3840,90,3,1,0,16,1
Normal,Flying,2,0,0,0,60,30,30,36,56,50,262,0.7,21.2,255,5.0,3840,255,3,2,2,11,3
Normal,Flying,2,0,0,0,100,50,50,86,96,70,452,1.6,40.8,90,5.0,3840,90,3,2,2,11,3
Bug,Flying,2,0,0,0,40,20,30,40,80,55,265,1.0,10.8,255,5.0,3840,255,4,1,3,9,5
Bug,Flying,2,0,0,0,55,35,50,55,110,85,390,1.4,35.6,90,5.0,3840,90,4,1,3,9,5
Bug,Poison,2,0,0,0,40,60,40,40,40,30,250,0.5,8.5,255,5.0,3840,255,4,0,5,9,4
Bug,Poison,2,0,0,0,70,90,70,60,70,40,400,1.1,33.5,90,5.0,3840,90,4,0,5,9,4
Poison,Flying,2,0,0,0,85,90,80,70,80,130,535,1.8,75.0,90,5.0,3840,90,3,1,5,8,4
Water,Electric,2,0,0,0,75,38,38,56,56,67,330,0.5,12.0,190,5.0,5120,190,4,0,5,11,2
Water,Electric,2,0,0,0,125,58,58,76,76,67,460,1.2,22.5,75,5.0,5120,75,4,0,5,11,2
Electric,None,2,0,0,0,20,40,15,35,35,60,205,0.3,2.0,190,5.0,2560,190,3,0,3,14,1
Fairy,None,2,0,0,0,50,25,28,45,55,15,218,0.3,3.0,150,24.6,2560,150,4,1,3,12,2
Normal,Fairy,2,0,0,0,90,30,15,40,20,15,210,0.3,1.0,170,24.6,2560,170,4,2,2,12,2
Fairy,None,2,0,0,0,35,20,65,40,65,20,245,0.3,1.5,190,88.1,2560,190,3,1,3,12,2
Fairy,Flying,2,0,0,0,55,40,85,80,105,40,405,0.6,3.2,75,88.1,2560,75,3,2,4,7,5
Psychic,Flying,2,0,0,0,40,50,45,70,45,70,320,0.2,2.0,190,5.0,5120,190,3,1,3,9,5
Psychic,Flying,2,0,0,0,65,75,70,95,70,95,470,1.5,15.0,75,5.0,5120,75,3,1,3,9,5
Electric,None,2,0,0,0,55,40,40,65,45,35,280,0.6,7.8,235,5.0,5120,235,2,0,3,14,1
Electric,None,2,0,0,0,70,55,55,80,60,45,365,0.8,13.3,120,5.0,5120,120,2,0,3,14,1
Electric,None,2,0,0,0,90,75,85,115,90,55,510,1.4,61.5,45,5.0,5120,45,2,0,3,14,1
Grass,None,2,0,0,0,75,80,95,90,100,50,490,0.4,5.8,45,5.0,5120,45,2,0,4,9,5
Water,Fairy,2,0,0,0,70,20,50,20,50,40,250,0.4,8.5,190,5.0,2560,190,3,1,6,8,3
Water,Fairy,2,0,0,0,100,50,80,60,80,50,420,0.8,28.5,75,5.0,2560,75,3,1,6,8,3
Rock,None,2,0,0,0,70,100,115,30,65,30,410,1.2,38.0,65,5.0,5120,65,4,0,4,9,5
Water,None,2,0,0,0,90,75,75,90,100,70,500,1.1,33.9,45,5.0,5120,45,4,0,4,12,2
Grass,Flying,2,0,0,0,35,35,40,35,55,50,250,0.4,0.5,255,5.0,5120,255,3,1,3,9,5
Grass,Flying,2,0,0,0,55,45,50,45,65,80,340,0.6,1.0,120,5.0,5120,120,3,1,3,9,5
Grass,Flying,2,0,0,0,75,55,70,55,95,110,460,0.8,3.0,45,5.0,5120,45,3,1,3,9,5
Normal,None,2,0,0,0,55,70,55,40,55,85,360,0.8,11.5,45,5.0,5120,45,3,1,0,16,1
Grass,None,2,0,0,0,30,30,30,30,30,30,180,0.3,1.8,235,5.0,5120,235,3,0,4,9,5
Grass,None,2,0,0,0,75,75,55,105,85,30,425,0.8,8.5,120,5.0,5120,120,3,0,4,9,5
Bug,Flying,2,0,0,0,65,65,45,75,45,95,390,1.2,38.0,75,5.0,5120,75,3,1,3,9,5
Water,Ground,2,0,0,0,55,45,45,25,25,15,210,0.4,8.5,255,5.0,5120,255,3,1,4,12,1
Water,Ground,2,0,0,0,95,85,85,65,65,35,430,1.4,75.0,90,5.0,5120,90,3,1,4,12,1
Psychic,None,2,0,0,0,65,65,60,130,95,110,525,0.9,26.5,45,88.1,8960,45,3,0,2,13,3
Dark,None,2,0,0,0,95,65,110,60,130,65,525,1.0,27.0,45,88.1,8960,45,3,1,2,12,3
Dark,Flying,2,0,0,0,60,85,42,85,42,91,405,0.5,2.1,30,5.0,5120,30,4,2,3,9,4
Water,Psychic,2,0,0,0,95,75,80,100,110,30,490,2.0,79.5,70,5.0,5120,70,4,0,6,7,5
Ghost,None,2,0,0,0,60,60,60,85,85,85,435,0.7,1.0,45,5.0,6400,45,1,2,2,12,2
Psychic,None,2,0,0,0,48,72,48,72,48,48,336,0.5,5.0,225,5.0,10240,225,1,0,2,13,3
Psychic,None,2,0,0,0,190,33,58,33,58,33,405,1.3,28.5,45,5.0,5120,45,2,0,2,13,3
Normal,Psychic,2,0,0,0,70,80,65,90,65,85,455,1.5,41.5,60,5.0,5120,60,3,1,1,14,2
Bug,None,2,0,0,0,50,65,90,35,35,15,290,0.6,7.2,190,5.0,5120,190,2,0,3,12,3
Bug,Steel,2,0,0,0,75,90,140,60,60,40,465,1.2,125.8,75,5.0,5120,75,2,1,8,8,1
Normal,None,2,0,0,0,100,70,70,65,65,45,415,1.5,14.0,190,5.0,5120,190,3,1,0,16,1
Ground,Flying,2,0,0,0,65,75,105,35,65,85,430,1.1,64.8,60,5.0,5120,60,3,2,3,11,2
Steel,Ground,2,0,0,0,75,85,200,55,65,30,510,9.2,400.0,25,5.0,6400,25,3,2,8,4,4
Fairy,None,2,0,0,0,60,80,50,40,40,30,300,0.6,7.8,190,24.6,5120,190,4,1,3,12,2
Fairy,None,2,0,0,0,90,120,75,60,60,45,450,1.4,48.7,75,24.6,5120,75,4,1,3,12,2
Water,Poison,2,0,0,0,65,95,85,55,55,85,440,0.5,3.9,45,5.0,5120,45,3,0,8,7,3
Bug,Steel,2,0,0,0,70,130,100,55,80,65,500,1.8,118.0,25,5.0,6400,25,4,1,8,8,1
Bug,Rock,2,0,0,0,20,10,230,10,230,5,505,0.6,20.5,190,5.0,5120,190,3,0,2,13,3
Bug,Fighting,2,0,0,0,80,125,75,40,95,85,500,1.5,54.0,45,5.0,6400,45,3,0,5,9,4
Dark,Ice,2,0,0,0,55,95,55,35,75,115,430,0.9,28.0,60,5.0,5120,60,4,1,3,8,6
Normal,None,2,0,0,0,60,80,50,50,50,40,330,0.6,8.8,120,5.0,5120,120,3,1,0,16,1
Normal,None,2,0,0,0,90,130,75,75,75,55,500,1.8,125.8,60,5.0,5120,60,3,1,0,16,1
Fire,None,2,0,0,0,40,40,40,70,40,20,250,0.7,35.0,190,5.0,5120,190,3,0,6,9,3
Fire,Rock,2,0,0,0,60,50,120,90,80,30,430,0.8,55.0,75,5.0,5120,75,3,0,7,7,4
Ice,Ground,2,0,0,0,50,50,40,30,30,50,250,0.4,6.5,225,5.0,5120,225,3,1,1,11,5
Ice,Ground,2,0,0,0,100,100,80,60,60,50,450,1.1,55.8,75,5.0,5120,75,3,1,1,11,5
Water,Rock,2,0,0,0,65,55,95,65,95,35,410,0.6,5.0,60,24.6,5120,60,4,0,5,9,4
Water,None,2,0,0,0,35,65,35,65,35,65,300,0.6,12.0,190,5.0,5120,190,3,0,4,12,2
Water,None,2,0,0,0,75,105,75,105,75,45,480,0.9,28.5,75,5.0,5120,75,3,0,4,12,2
Ice,Flying,2,0,0,0,45,55,45,65,45,75,330,0.9,16.0,45,5.0,5120,45,4,1,2,11,4
Water,Flying,2,0,0,0,85,40,70,80,140,70,485,2.1,220.0,25,5.0,6400,25,3,1,5,10,2
Steel,Flying,2,0,0,0,65,80,140,40,70,70,465,1.7,50.5,25,5.0,6400,25,4,2,8,6,2
Dark,Fire,2,0,0,0,45,60,30,80,50,65,330,0.6,10.8,120,5.0,5120,120,3,1,6,7,4
Dark,Fire,2,0,0,0,75,90,50,110,80,95,500,1.4,35.0,45,5.0,5120,45,3,1,6,7,4
Water,Dragon,2,0,0,0,75,95,95,95,95,85,540,1.8,152.0,45,5.0,5120,45,3,0,3,13,2
Ground,None,2,0,0,0,90,60,60,40,40,40,330,0.5,33.5,120,5.0,5120,120,2,1,2,12,3
Ground,None,2,0,0,0,90,120,120,60,60,50,500,1.1,120.0,60,5.0,5120,60,2,1,2,12,3
Normal,None,2,0,0,0,85,80,90,105,95,60,515,0.6,32.5,45,5.0,5120,45,3,1,0,16,1
Normal,None,2,0,0,0,73,95,62,85,65,85,465,1.4,71.2,45,5.0,5120,45,3,1,0,16,1
Normal,None,2,0,0,0,55,20,35,20,45,75,250,1.2,58.0,45,5.0,5120,45,4,1,0,16,1
Fighting,None,2,0,0,0,35,35,35,35,35,35,210,0.7,21.0,75,10.0,6400,75,3,0,3,12,3
Fighting,None,2,0,0,0,50,95,95,35,110,70,455,1.4,48.0,45,10.0,6400,45,3,0,3,12,3
