id,name,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,normal_weakness,fire_weakness,water_weakness,electric_weakness,grass_weakness,ice_weakness,fighting_weakness,poison_weakness,ground_weakness,flying_weakness,psychic_weakness,bug_weakness,rock_weakness,ghost_weakness,dragon_weakness,dark_weakness,steel_weakness,fairy_weakness,height_inches,height_meters,weight_pounds,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities,type_1,type_2,classification_info,forms,gen,is_legendary,is_mythical,is_ultra_beast,number_immune,number_not_effective,number_normal,number_super_effective,has_forms,abilities_count,base_stats_calc,base_stats_diff
11,Metapod,50,20,55,25,25,30,205,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,204,0.7,21.8,9.9,120,5.0,3840,120,Shed Skin,Bug,None,Cocoon,,1,0,0,0,0,3,12,3,0,1,205,0
12,Butterfree,60,45,50,90,80,70,395,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,307,1.1,70.5,32.0,45,5.0,3840,45,Available; Compound Eyes; Tinted Lens,Bug,Flying,Butterfly,,1,0,0,0,1,3,9,5,0,3,395,0
13,Weedle,40,35,30,20,20,50,195,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,100,0.3,7.1,3.2,255,5.0,3840,255,Run Away; Shield Dust,Bug,Poison,Hairy Bug,,1,0,0,0,0,5,9,4,0,2,195,0
14,Kakuna,45,25,50,25,25,35,205,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,200,0.6,22.0,10.0,120,5.0,3840,120,Shed Skin,Bug,Poison,Cocoon,,1,0,0,0,0,5,9,4,0,1,205,0
15,Beedrill,65,90,40,45,80,75,395,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,303,1.0,65.0,29.5,45,5.0,3840,45,Sniper; Swarm,Bug,Poison,Poison Bee,Mega Beedrill,1,0,0,0,0,5,9,4,1,2,395,0
16,Pidgey,40,45,40,35,35,56,251,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,100,0.3,4.0,1.8,255,5.0,3840,255,Big Pecks; Keen Eye; Tangled Feet,Normal,Flying,Tiny Bird,,1,0,0,0,2,2,11,3,0,3,251,0
17,Pidgeotto,63,60,55,50,50,71,349,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,307,1.1,66.1,30.0,120,5.0,3840,120,Big Pecks; Keen Eye; Tangled Feet,Normal,Flying,Bird,,1,0,0,0,2,2,11,3,0,3,349,0
18,Pidgeot,83,80,75,70,70,101,479,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,411,1.5,87.1,39.5,45,5.0,3840,45,Big Pecks; Keen Eye; Tangled Feet,Normal,Flying,Bird,Mega Pidgeot,1,0,0,0,2,2,11,3,1,3,479,0
19,Rattata,30,56,35,25,35,72,253,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12,0.3,7.7,3.5,255,5.0,3840,255,Alola Form; Alola Form Abilities; Available; Gluttony; Guts; Hidden; Hustle; Run Away; Thick Fat,Normal,None,Mouse,Alolan Rattata,1,0,0,0,1,0,16,1,1,9,253,0
20,Raticate,55,81,60,50,70,97,413,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,28,0.7,40.8,18.5,127,5.0,3840,127,Alola Form; Alola Form Abilities; Available; Gluttony; Guts; Hidden; Hustle; Run Away; Thick Fat,Normal,None,Mouse,Alolan Raticate,1,0,0,0,1,0,16,1,1,9,413,0
21,Spearow,40,60,30,31,31,70,262,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,100,0.3,4.4,2.0,255,5.0,3840,255,Available; Keen Eye; Sniper,Normal,Flying,Tiny Bird,,1,0,0,0,2,2,11,3,0,3,262,0
22,Fearow,65,90,65,61,61,100,442,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,311,1.2,83.8,38.0,90,5.0,3840,90,Available; Keen Eye; Sniper,Normal,Flying,Beak,,1,0,0,0,2,2,11,3,0,3,442,0
23,Ekans,35,60,44,40,54,55,288,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,607,2.0,15.2,6.9,255,5.0,5120,255,Intimidate; Shed Skin; Unnerve,Poison,None,Snake,,1,0,0,0,0,5,11,2,0,3,288,0
24,Arbok,60,95,69,65,79,80,448,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1106,3.5,143.3,65.0,90,5.0,5120,90,Intimidate; Shed Skin; Unnerve,Poison,None,Cobra,,1,0,0,0,0,5,11,2,0,3,448,0
25,Pikachu,35,55,40,50,50,90,320,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,104,0.4,13.2,6.0,190,5.0,2560,190,Available; Lightning Rod; Static,Electric,None,Mouse,Partner Pikachu,1,0,0,0,0,3,14,1,1,3,320,0
26,Raichu,60,90,55,90,80,110,485,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,31,28.0,46.3,21.0,75,5.0,2560,75,Alola Form; Alola Form Abilities; Hidden; Lightning Rod; Static; Surge Surfer,Electric,None,Mouse,Alolan Raichu,1,0,0,0,0,3,14,1,1,6,485,0
27,Sandshrew,50,75,85,20,30,40,300,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,24,0.6,26.5,12.0,255,5.0,5120,255,Alola Form; Alola Form Abilities; Available; Hidden; Sand Rush; Sand Veil; Slush Rush; Snow Cloak,Ground,None,Mouse,Alolan Sandshrew,1,0,0,0,1,2,12,3,1,8,300,0
28,Sandslash,75,100,110,45,55,65,450,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,39,1.0,65.0,29.5,90,5.0,5120,90,Alola Form; Alola Form Abilities; Available; Hidden; Sand Rush; Sand Veil; Slush Rush; Snow Cloak,Ground,None,Mouse,Alolan Sandslash,1,0,0,0,1,2,12,3,1,8,450,0
29,Nidoran-m,55,47,52,40,40,41,275,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,104,0.4,15.4,7.0,235,0.0,5120,235,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0,3,275,0
30,Nidorina,70,62,67,55,55,56,365,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,207,0.8,44.1,20.0,120,0.0,5120,120,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0,3,365,0
31,Nidoqueen,90,92,87,75,85,76,505,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,403,1.3,132.3,60.0,45,0.0,5120,45,Poison Point; Rivalry; Sheer Force,Poison,Ground,Drill,,1,0,0,0,1,5,8,4,0,3,505,0
32,Nidoran-f,46,57,40,40,40,50,273,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,108,0.5,19.8,9.0,235,10.0,5120,235,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0,3,273,0
33,Nidorino,61,72,57,55,55,65,365,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,211,0.9,43.0,19.5,120,10.0,5120,120,Hustle; Poison Point; Rivalry,Poison,None,Poison Pin,,1,0,0,0,0,5,11,2,0,3,365,0
34,Nidoking,81,102,77,85,75,85,505,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,407,1.4,136.7,62.0,45,10.0,5120,45,Poison Point; Rivalry; Sheer Force,Poison,Ground,Drill,,1,0,0,0,1,5,8,4,0,3,505,0
35,Clefairy,70,45,48,60,65,35,323,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,200,0.6,16.5,7.5,150,24.6,2560,150,Available; Cute Charm; Friend Guard; Magic Guard,Fairy,None,Fairy,,1,0,0,0,1,3,12,2,0,4,323,0
36,Clefable,95,70,73,95,90,60,483,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,403,1.3,88.2,40.0,25,24.6,2560,25,Available; Cute Charm; Magic Guard; Unaware,Fairy,None,Fairy,,1,0,0,0,1,3,12,2,0,4,483,0
37,Vulpix,38,41,40,50,65,65,299,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,24,0.6,21.8,9.9,190,24.6,5120,190,Alola Form; Alola Form Abilities; Available; Drought; Flash Fire; Hidden; Snow Cloak; Snow Warning,Fire,None,Fox,Alolan Vulpix,1,0,0,0,0,6,9,3,1,8,299,0
38,Ninetales,73,76,75,81,100,100,505,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,43,1.1,43.9,19.9,75,24.6,5120,75,Alola Form; Alola Form Abilities; Available; Drought; Flash Fire; Hidden; Snow Cloak; Snow Warning,Fire,None,Fox,Alolan Ninetales,1,0,0,0,0,6,9,3,1,8,505,0
39,Jigglypuff,115,45,20,45,25,20,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,108,0.5,12.1,5.5,170,24.6,2560,170,Available; Competitive; Cute Charm; Friend Guard,Normal,Fairy,Balloon,,1,0,0,0,2,2,12,2,0,4,270,0
40,Wigglytuff,140,70,45,85,50,45,435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,303,1.0,26.5,12.0,50,24.6,2560,50,Available; Competitive; Cute Charm; Frisk,Normal,Fairy,Balloon,,1,0,0,0,2,2,12,2,0,4,435,0
41,Zubat,40,45,35,30,40,55,245,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,207,0.8,16.5,7.5,255,5.0,3840,255,Available; Infiltrator; Inner Focus,Poison,Flying,Bat,,1,0,0,0,1,5,8,4,0,3,245,0
42,Golbat,75,80,70,65,75,90,455,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,503,1.6,121.3,55.0,90,5.0,3840,90,Available; Infiltrator; Inner Focus,Poison,Flying,Bat,,1,0,0,0,1,5,8,4,0,3,455,0
43,Oddish,45,50,55,75,65,30,320,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,108,0.5,11.9,5.4,255,5.0,5120,255,Chlorophyll; Run Away,Grass,Poison,Weed,,1,0,0,0,0,5,9,4,0,2,320,0
44,Gloom,60,65,70,85,75,40,395,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,207,0.8,19.0,8.6,120,5.0,5120,120,Chlorophyll; Stench,Grass,Poison,Weed,,1,0,0,0,0,5,9,4,0,2,395,0
45,Vileplume,75,80,85,110,90,50,490,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,311,1.2,41.0,18.6,45,5.0,5120,45,Chlorophyll; Effect Spore,Grass,Poison,Flower,,1,0,0,0,0,5,9,4,0,2,490,0
46,Paras,35,70,55,45,55,25,285,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,100,0.3,11.9,5.4,190,5.0,5120,190,Available; Damp; Dry Skin; Effect Spore,Bug,Grass,Mushroom,,1,0,0,0,0,5,7,6,0,4,285,0
47,Parasect,60,95,80,60,80,30,405,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,303,1.0,65.0,29.5,75,5.0,5120,75,Available; Damp; Dry Skin; Effect Spore,Bug,Grass,Mushroom,,1,0,0,0,0,5,7,6,0,4,405,0
48,Venonat,60,55,50,40,55,45,305,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,303,1.0,66.1,30.0,190,5.0,5120,190,Compound Eyes; Run Away; Tinted Lens,Bug,Poison,Insect,,1,0,0,0,0,5,9,4,0,3,305,0
49,Venomoth,70,65,60,90,75,90,450,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,411,1.5,27.6,12.5,75,5.0,5120,75,Shield Dust; Tinted Lens; Wonder Skin,Bug,Poison,Poison Moth,,1,0,0,0,0,5,9,4,0,3,450,0
50,Diglett,10,55,25,35,45,95,265,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,8,0.2,1.8,0.8,255,5.0,5120,255,Alola Form; Alola Form Abilities; Arena Trap; Available; Hidden; Sand Force; Sand Veil; Tangling Hair,Ground,None,Mole,Alolan Diglett,1,0,0,0,1,2,12,3,1,8,265,0
51,Dugtrio,35,100,50,50,70,120,425,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,28,0.7,73.4,33.3,50,5.0,5120,50,Alola Form; Alola Form Abilities; Arena Trap; Available; Hidden; Sand Force; Sand Veil; Tangling Hair,Ground,None,Mole,Alolan Dugtrio,1,0,0,0,1,2,12,3,1,8,425,0
52,Meowth,40,45,35,40,40,90,290,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0.4,9.3,4.2,255,5.0,5120,255,Alola Form; Alola Form Abilities; Available; Hidden; Pickup; Rattled; Technician; Unnerve,Normal,None,Scratch Cat,Alolan Meowth; Galarian Meowth,1,0,0,0,1,0,16,1,1,8,290,0
53,Persian,65,70,60,65,65,115,440,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,39,1.0,70.5,32.0,90,5.0,5120,90,Alola Form; Alola Form Abilities; Available; Fur Coat; Hidden; Limber; Rattled; Technician; Unnerve,Normal,None,Classy Cat,Alolan Persian,1,0,0,0,1,0,16,1,1,9,440,0
54,Psyduck,50,52,48,65,50,55,320,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,207,0.8,43.2,19.6,190,5.0,5120,190,Available; Cloud Nine; Damp; Swift Swim,Water,None,Duck,,1,0,0,0,0,4,12,2,0,4,320,0
55,Golduck,80,82,78,95,80,85,500,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,507,1.7,168.9,76.6,75,5.0,5120,75,Available; Cloud Nine; Damp; Swift Swim,Water,None,Duck,,1,0,0,0,0,4,12,2,0,4,500,0
56,Mankey,40,80,35,35,45,70,305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,108,0.5,61.7,28.0,190,5.0,5120,190,Anger Point; Available; Defiant; Vital Spirit,Fighting,None,Pig Monkey,,1,0,0,0,0,3,12,3,0,4,305,0
57,Primeape,65,105,60,60,70,95,455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,303,1.0,70.5,32.0,75,5.0,5120,75,Anger Point; Available; Defiant; Vital Spirit,Fighting,None,Pig Monkey,,1,0,0,0,0,3,12,3,0,4,455,0
58,Growlithe,55,70,45,70,50,60,350,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,204,0.7,41.9,19.0,190,75.4,5120,190,Available; Flash Fire; Intimidate; Justified,Fire,None,Puppy,Hisuian Growlithe,1,0,0,0,0,6,9,3,1,4,350,0
59,Arcanine,90,110,80,100,80,95,555,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,603,1.9,341.7,155.0,75,75.4,5120,75,Available; Flash Fire; Intimidate; Justified,Fire,None,Legendary,Hisuian Arcanine,1,0,0,0,0,6,9,3,1,4,555,0
60,Poliwag,40,50,40,40,40,90,300,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,200,0.6,27.3,12.4,255,5.0,5120,255,Available; Damp; Swift Swim; Water Absorb,Water,None,Tadpole,,1,0,0,0,0,4,12,2,0,4,300,0
61,Poliwhirl,65,65,65,50,50,90,385,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,303,1.0,44.1,20.0,120,5.0,5120,120,Available; Damp; Swift Swim; Water Absorb,Water,None,Tadpole,,1,0,0,0,0,4,12,2,0,4,385,0
62,Poliwrath,90,95,95,70,90,70,510,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,403,1.3,119.0,54.0,45,5.0,5120,45,Available; Damp; Swift Swim; Water Absorb,Water,Fighting,Tadpole,,1,0,0,0,0,7,6,5,0,4,510,0
63,Abra,25,20,15,105,55,90,310,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,211,0.9,43.0,19.5,200,75.4,5120,200,Available; Inner Focus; Magic Guard; Synchronize,Psychic,None,Psi,,1,0,0,0,0,2,13,3,0,4,310,0
64,Kadabra,40,35,30,120,70,105,400,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,403,1.3,124.6,56.5,100,75.4,5120,100,Available; Inner Focus; Magic Guard; Synchronize,Psychic,None,Psi,,1,0,0,0,0,2,13,3,0,4,400,0
65,Alakazam,55,50,45,135,95,120,500,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,411,1.5,105.8,48.0,50,75.4,5120,50,Available; Inner Focus; Magic Guard; Synchronize,Psychic,None,Psi,Mega Alakazam,1,0,0,0,0,2,13,3,1,4,500,0
66,Machop,70,80,50,35,35,35,305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,207,0.8,43.0,19.5,180,75.4,5120,180,Available; Guts; No Guard; Steadfast,Fighting,None,Superpower,,1,0,0,0,0,3,12,3,0,4,305,0
67,Machoke,80,100,70,50,60,45,405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,411,1.5,155.4,70.5,90,75.4,5120,90,Available; Guts; No Guard; Steadfast,Fighting,None,Superpower,,1,0,0,0,0,3,12,3,0,4,405,0
68,Machamp,90,130,80,65,85,55,505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,503,1.6,286.6,130.0,45,75.4,5120,45,Available; Guts; No Guard; Steadfast,Fighting,None,Superpower,,1,0,0,0,0,3,12,3,0,4,505,0
69,Bellsprout,50,75,35,70,30,40,300,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,204,0.7,8.8,4.0,255,5.0,5120,255,Chlorophyll; Gluttony,Grass,Poison,Flower,,1,0,0,0,0,5,9,4,0,2,300,0
70,Weepinbell,65,90,50,85,45,55,390,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,303,1.0,14.1,6.4,120,5.0,5120,120,Chlorophyll; Gluttony,Grass,Poison,Flycatcher,,1,0,0,0,0,5,9,4,0,2,390,0
71,Victreebel,80,105,65,100,70,70,490,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,507,1.7,34.2,15.5,45,5.0,5120,45,Chlorophyll; Gluttony,Grass,Poison,Flycatcher,,1,0,0,0,0,5,9,4,0,2,490,0
72,Tentacool,40,40,35,50,100,70,335,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,211,0.9,100.3,45.5,190,5.0,5120,190,Available; Clear Body; Liquid Ooze; Rain Dish,Water,Poison,Jellyfish,,1,0,0,0,0,8,7,3,0,4,335,0
73,Tentacruel,80,70,65,80,120,100,515,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,503,1.6,121.3,55.0,60,5.0,5120,60,Available; Clear Body; Liquid Ooze; Rain Dish,Water,Poison,Jellyfish,,1,0,0,0,0,8,7,3,0,4,515,0
